LINK,state,permalink,shortlink,title,body,share header,share subhead,share text,image location,hashtags
https://share.commoncause.org/vote-alabama,Alabama,/voting-info/alabama,/vote-alabama,Alabama - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://myinfo.alabamavotes.gov/voterview)
* [Absentee Voting Information >>](https://www.sos.alabama.gov/alabama-votes/voter/absentee-voting?m=voters)
* [Voter ID Requirements >>](https://www.sos.alabama.gov/alabama-votes/photo-voter-id)
* [Track Your Absentee Ballot >>](https://myinfo.alabamavotes.gov/voterview)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Alabama voting information!","Alabama: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/ALABAMA.png,
https://share.commoncause.org/vote-alaska,Alaska,/voting-info/alaska,/vote-alaska,Alaska - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://myvoterinformation.alaska.gov/)
* [Absentee Voting Information >>](https://www.elections.alaska.gov/Core/AKVoteEarly.php)
* [Voter ID Requirements >>](https://www.elections.alaska.gov/Core/votingatthepollsonelectionday.php)
* [Track Your Absentee Ballot >>](https://myvoterinformation.alaska.gov/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Alaska voting information!","Alaska: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/ALASKA.png,
https://share.commoncause.org/vote-arizona,Arizona,/voting-info/arizona,/vote-arizona,Arizona - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://my.arizona.vote/WhereToVote.aspx?s=address)
* [Absentee Voting Information >>](https://azsos.gov/votebymail)
* [Voter ID Requirements >>](https://azsos.gov/elections/voting-election)
* [Track Your Absentee Ballot >>](https://my.arizona.vote/PortalList.aspx)
* [Voting FAQ >>](https://docs.google.com/document/d/1e3hUuy_dPCazmI564Vo8Q3qch8jQHHDm3k96gPV1PIk/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Arizona voting information!","Arizona: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/ARIZONA.png,
https://share.commoncause.org/vote-arkansas,Arkansas,/voting-info/arkansas,/vote-arkansas,Arkansas - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://www.voterview.ar-nova.org/VoterView)
* [Absentee Voting Information >>](https://www.sos.arkansas.gov/elections/voter-information/absentee-voting)
* [Voter ID Requirements >>](https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information/voting-in-arkansas)
* [Track Your Absentee Ballot >>](https://www.voterview.ar-nova.org/voterview)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Arkansas voting information!","Arkansas: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/ARKANSAS.png,
https://share.commoncause.org/vote-california,California,/voting-info/california,/vote-california,California - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://www.sos.ca.gov/elections/polling-place)
* [Absentee Voting Information >>](https://www.sos.ca.gov/elections/voter-registration/vote-mail#vote-by-mail)
* [Voter ID Requirements >>](https://www.sos.ca.gov/elections/voting-resources/voting-california/what-bring/)
* [Track Your Absentee Ballot >>](https://www.sos.ca.gov/elections/ballot-status/wheres-my-ballot)
* [Voting FAQ >>](https://docs.google.com/document/d/17jrLXtxWuZaiH_CaQiKr8u-XLTdt_5WJKYK5RmS1deA/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable California voting information!","California: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/CALIFORNIA.png,
https://share.commoncause.org/vote-colorado,Colorado,/voting-info/colorado,/vote-colorado,Colorado - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://www.sos.state.co.us/pubs/elections/VIP.html)
* [Absentee Voting Information >>](https://www.sos.state.co.us/pubs/elections/FAQs/ElectionDay.html)
* [Voter ID Requirements >>](http://www.sos.state.co.us/pubs/elections/vote/acceptableFormsOfID.html)
* [Track Your Absentee Ballot >>](https://colorado.ballottrax.net/voter/)
* [Voting FAQ >>](https://docs.google.com/document/d/1_1T8HWdw4WuRV_2g1kjXzYxgJ3tTeCTKUz0HR4DgDSY/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Colorado voting information!","Colorado: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/COLORADO.png,
https://share.commoncause.org/vote-connecticut,Connecticut,/voting-info/connecticut,/vote-connecticut,Connecticut - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](http://www.dir.ct.gov/sots/LookUp.aspx)
* [Absentee Voting Information >>](https://portal.ct.gov/SOTS/Election-Services/Voter-Information/Absentee-Voting)
* [Voter ID Requirements >>](https://portal.ct.gov/SOTS/Election-Services/FAQ/FAQ---Voter-Identification)
* Track Your Absentee Ballot: Voters in Connecticut should [directly contact their local election officials >>](https://portal.ct.gov/SOTS/Election-Services/Find-Your-Town-Clerk-Registrar-and-Elected-Officials/Find-Your-Town-Clerk-Registrar-of-Voters-and-Elected-Officials)
* [Voting FAQ >>](https://docs.google.com/document/d/1_1T8HWdw4WuRV_2g1kjXzYxgJ3tTeCTKUz0HR4DgDSY/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Connecticut voting information!","Connecticut: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/CONNECTICUT.png,
https://share.commoncause.org/vote-delaware,Delaware,/voting-info/delaware,/vote-delaware,Delaware - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](https://ivote.de.gov/voterview)
* [Absentee Voting Information >>](http://elections.delaware.gov/voter/absenteeballot.shtml)
* [Voter ID Requirements >>](http://electionsncc.delaware.gov/faqs/voting.shtml#ques3b)
* [Track Your Absentee Ballot >>](https://ivote.de.gov/voterview)
* [Voting FAQ >>](https://docs.google.com/document/d/1AZSgZn4VLzp0VlxtFkm2IyjkU81dXxRZCN0FZ8mFd5A)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Delaware voting information!","Delaware: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/DELAWARE.png,
https://share.commoncause.org/vote-florida,Florida,/voting-info/florida,/vote-florida,Florida - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](http://registration.elections.myflorida.com/)
* [Absentee Voting Information >>](https://dos.myflorida.com/elections/for-voters/voting/vote-by-mail/)
* [Voter ID Requirements >>](https://dos.myflorida.com/elections/for-voters/voting/election-day-voting/)
* [Track Your Absentee Ballot >>](https://registration.elections.myflorida.com/CheckVoterStatus)
* [Voting FAQ >>](https://docs.google.com/document/d/1oOHSzbdwrZ0QZc2aY3GR1ygfghPV-LgXUB52_heLhlk/)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Florida voting information!","Florida: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/FLORIDA.png,
https://share.commoncause.org/vote-georgia,Georgia,/voting-info/georgia,/vote-georgia,Georgia - Call 866-OUR-VOTE if you need help voting!,"### **If you have any issues or questions while voting, [call 866-OUR-VOTE](tel:8666878683) for nonpartisan assistance.**

**You can also find reliable voting information on these official state websites:**

* [Find Your Polling Place >>](http://www.mvp.sos.ga.gov/)
* [Absentee Voting Information >>](http://sos.ga.gov/index.php/Elections/absentee_voting_in_georgia)
* [Voter ID Requirements >>](http://sos.ga.gov/index.php/elections/georgia_voter_identification_requirements2)
* [Track Your Absentee Ballot >>](https://www.mvp.sos.ga.gov/MVP/mvp.do)
* [Voting FAQ >>](https://docs.google.com/document/d/1QQ2RS_VMeWeDlA2ow3V_u2IAB8WRENB6G9jKIp-YRDY)

**Use the buttons on this page to help share this helpful voting information with your community -- and help your friends, family, and neighbors cast their ballots safely!**

Remember, your vote is your voice -- and it's important that each of us have a say in our future. And, if you are in line when polls close, you still have the right to stay in line and cast your ballot!

**Live in another state? [Visit canivote.org to find official voting info >>](https://canivote.org)**",Spread The Word,"Use these sharing tools to post trusted, reliable Georgia voting information!","Georgia: know your voting rights! Call 866-OUR-VOTE if you need help voting, or use these official resources.",/GEORGIA.png,
